author_hash,text_redacted,label
u_3f7c17bc2b,НАЦИСТ ФАШИСТ,OFFENSIVE
u_61be55a8e2,Хачики попутали че то. Надо им Уржар 2.0 устроить,HATE_SPEECH
u_5f1e11e3b1,Мал шщс,OFFENSIVE
u_b53ab457aa,"Не тащите эту хуету сюда, пожалуйста, уже в тредс заебли с языковым вопросом своим. Говорите как хотите, не нравится, что другие не говорят на казахском - не общайтесь с ними",OFFENSIVE
u_5a67dba874,Барбагыла акмактарга!,OFFENSIVE
u_0bbcff82e8,Ой долбаеп біттің болды,OFFENSIVE
u_b6376de40f,CFBR,OFFENSIVE
u_6cea57c2fb,«Ждите гостей» - это дерзкие хачики-кавказцы решили местным угрожать? Ахуевшие. Никакого уважения к местному языку. Даже не стараются. Можно было хотя бы через Гугл переводчик что-то стандартно-вежливое ответить.,HATE_SPEECH
u_13e80ebafe,"А что вы пыжитесь это вам не поможет. Админ шашлычки, вы там не угражайте что гостей отправите. Любой казах мой родной, кровинка моя. А то мы заедим в гости.",OFFENSIVE
u_885991c534,Қазақ тілі даяшының ті- лі болса орыс тілі шошқаның тілі деиміз .,HATE_SPEECH
u_fd5fb074ce,Қазақ тілін корлаган үшін тумсығын бузып бичтерге қосжіперу керек мына малдарды,HATE_SPEECH
u_39024ce295,"Қазақтар өз ана тілінде сөйлеу керек, білмесе үйренсін тез арада,өте ұят болған",HATE_SPEECH
u_f7bb2923d2,жарайсың дұрыс қазақ тілін қорғау керек олай айтқан адамды жазалау керек ғой,HATE_SPEECH
u_1603915df7,"Эхххххххх, құлдық санасы бар мәңгүрттер қанды ішіп бітті.",OFFENSIVE
u_85a083eff5,Өзі қазақ бола тұра қазақ тілін қорллағаны несі басқа ұлт не істе мейді үяттай,HATE_SPEECH
u_9cdfa5e34f,Мынау қазақ мәңгүрт,HATE_SPEECH
u_833861d77e,"БҰЛ ТІЛДІ ҚОРЛАП ТҰРҒАН КІМ,ҚАЙ МЕКЕМЕ.СОНДА АУЗЫНДАҒЫ ТІЛІН ЖҰЛЫП ТАСТАСЫН ОЛ ОҢБАҒАН.ОЛ ҚАЗАҚ БОЛЫП ТУЫЛҒАН,ЯҒНИ АУЗЫНДВҒЫ ТІЛ ҚАЗАҚ ТІЛІ,ДАЯРШЫНЫҢ ТІЛІ.ӨЗІГЕ КІМНІҢ ТІЛІН САЛЫП АЛҒЫСЫ КЕЛСЕ СОНЫ САЛЫП АЛСЫН. ДАЯРШЫНЫҢ ТІЛІН ҚАЙТАРСЫН ҚАЗАҚҚА.",HATE_SPEECH
u_420067f69f,Сурак коймадынызба оз тилин даяшынын тили болса мангурлеп отырган орыс тилин кимнин жане ненин тили деп???,OFFENSIVE
u_420067f69f,Ким айтып отыр Казак тили даяшынын тили деп мынау Казактын жигити ма?! Оз Казак тилин корлап жаткан адам оз Казагын болса олген жеримиз осы баскадан не кутемиз Казак ели,HATE_SPEECH
u_c696354081,"Орыс болайын десе, бола алмай жүрген бір жағымпаз байғұс қой. Еш аяушылық болмасын, заң жүзінде қатаң жазалануы тиіс. Өз тілін сыйламаған адамды қалай қазақ деп айтуға болады. Ата заң, Конституцияны да пысқырмағаны ғой. Мұндай жағымпаз қазақтар баршылық.",HATE_SPEECH
u_20cff91452,"Қазақ тілін қорлағандарға кез келген қатаң жаза қолдану керек.Намыссыз қазақтар өз ана тілін менсінбесе надан , нақұрыс болғаны. Қанын , тілін сатқандар қазақ жерін басып жүрмей-ақ қойсын.",HATE_SPEECH
u_3e21947496,БАСҚА ҰЛТҚА МАСҚАРА БОЛҒАН ҚАЗАҒЫМ АИ.ҚАЗАҚ ЕЛІНДЕ БАСҚА ҰЛТ БІР БІРІМЕН ӨЗ ТІЛІНДЕ СӨИЛЕСЕДІ.БІЗДІҢ ҚАЗАҚБІР БІРІНЕ ҚАРСЫ ШЫҒАДЫ.ҚАИДАН ЕЛ БОЛАМЫЗ. ӨЗ ТІЛІМІЗДІҢ ТҰҒЫРЫН МЫҚТАП БЕКІТЕТІН ЗАҢ ТАЛАП ЕТІЛСІН.ОРЫС ТІЛІН АЛЫП ТАСТАСЫН.,HATE_SPEECH
u_387300059c,ШШС ТІЛІН СУЫРЫУ КЕРЕК МӘҢГҮРІТ ШШС ТАБЫУ КЕРЕК ШШС ЕШЕКТІ .,HATE_SPEECH
u_15a54d0ec3,"Мангурт мал кандай анадан туды екен ,ана тилин менсинбеитиндеи.",HATE_SPEECH
u_09c909cd5a,Мыналар малдар екен.,HATE_SPEECH
u_19e680ab96,Тілге тиіскендерді жазалау керек! Айыпбұл салғызындар қолдаймыз мұндай сатқын қазақтарды жұмыстан шығарсын!!,OFFENSIVE
u_89f3926f67,РЕСЕИДІҢ ТІЛІН ҚҰДАИДАИ КӨРГЕН АЗҒЫНДАР ЖАЗАҢЫЗДЫ АЛАСЫҢДАР ПУТИН РЕСЕИМЕН ОПАТ БОЛАСЫҢДАР,HATE_SPEECH
u_108887d26f,Казак ел!м мынандай манкурт малдардан кашан кутыламыз. Бул казак емес бул орыстын шошкасы. Оз т!л!н кад!рлемеген мал. Жарайсын кызым ана айуанды орнына койган.,HATE_SPEECH
u_1a336982f7,"Штраф, штраф миллиондап салу керек, мем лекет тилин корлаган ушин!",OFFENSIVE
u_50bd13d388,Мынадаи малдар қандаи әке шешеден шығады,HATE_SPEECH
u_39125ad502,Тупиица как ты можешь сказать про наш язык предатель ты ты сам казах или кто ты продал свою родную мать отца бейшара....,HATE_SPEECH
u_293b3fdeb7,"Бұндай қазақтарды отырған орындарында сабау керек жэне көшеде ұстап тағы ұру керек себебі олар далбай болғандар, намысы жоқ, жезөкше.",HATE_SPEECH
u_758c1562c4,ТІЛІ ЖОЙЫЛҒАН ҰЛТТЫҢ ӨЗІДЕ ЖОЙЫЛАДЫ. Ахмет Байтұрсынов.,OFFENSIVE
u_9ff7cdd7da,"ҚАЗАҚ. ТІЛІМІЗДІ. МЕНСІНБЕЙ. ҚОРЛАҒАН ДАРҒА, ЖАУАП. ОСЫЛАЙ. БОЛУ. КЕРЕК. кінә. өзіміздің. орысқұл. қазақтардан. болып. жатыр,",HATE_SPEECH
u_d9db6d87e5,Сен норыстарындыталканыншыгарган хан кпаукраинадурысоаркимо за тилиндесоидле ит ди,HATE_SPEECH
u_209a66a43f,Оз тiлiн сыиламаган малдар аиуаннан туылгандар аиуан коздерiн курту керек,OFFENSIVE
u_a0c354cb36,БҰНЫ АЙТЫП ОТЫРҒАН ҚАЗАҚТЫҢ БАЛАСЫМА.ӨЗ ТІЛІМІЗДІ ӨЗІМІЗ КҮЛКІ ЕТПЕҢДЕР ҰЯТСЫЗДАР.,OFFENSIVE
u_33ced10f64,"Өте дұрыс Қазақтан садаға кет, сені қазақтың дәмі урсын",OFFENSIVE
u_25e24bd2b6,"Өздерінше ресей тілін білім, ғылым тілі деп тұр ма, олар сол шет елден көшіруде, бізліңкілер аударма жасамай ресей тілінде қолдана берәп пайда тауып отыр",HATE_SPEECH
