text,label
"Осы қазақтар неге сонша тентек? Бәрі бірдей мас болады, ешқандай мәдениет жоқ!",HATE_SPEECH
"Сенің анаңды шешеңмен бірге... п...ц, неге осындай салақсың?",OFFENSIVE
"Алматыда жаңа кафе ашылған екен, барып көрген кім бар?",NORMAL
"Уйгурлар кетсін, біздің жерімізді басып алды, заебал уже!",HATE_SPEECH
"Админ ты шо, совсем ебанутый? Пост өшірдің неге?",OFFENSIVE
Ертең AITU-да дәріс сағат 9-да ма?,NORMAL
"Батыс Қазақстандағы орыстарға жер бермейік, өз еліне қайтсын!",HATE_SPEECH
"Сенің миыңды сі...п тастайын, тақырыптан ауып кеттің!",OFFENSIVE
Келесі семестрде қандай курстар ашылады екен?,NORMAL
"ЛГБТ адамдарды психиатриялық ауруханаға жабу керек, бұл нормаль емес!",HATE_SPEECH
"П...ц, сен қайдан шыққан мақұлықсың? Анаңа айтам!",OFFENSIVE
"NU-дың жаңа кітапханасы өте ыңғайлы екен, ұнайды!",NORMAL
"Армяндар келіп, біздің базарды басып алды, заебал!",HATE_SPEECH
"Сенің头像ыңды көрсем, құсам келеді, настоящий урод!",OFFENSIVE
Астанада қандай жақын кинотеатр бар?,NORMAL
"Мусылмандардың бәрі экстремист, Қазақстанда мұндай дін болмауы керек!",HATE_SPEECH
"Ей, дегенің не? Сенің анаңды... п...ц, тупой!",OFFENSIVE
"Келесі аптада мидтерм болады ма, пж?",NORMAL
"Қытайларды елге кіргізбеу керек, бәрі шпион!",HATE_SPEECH
"Админ, сенің миың жоқ екенін білемін, бірақ мына посты неге шығардың?",OFFENSIVE
"Кеше Айгеримнің концерті өте керемет болды, ұнады!",NORMAL
"Кавказдықтар келіп, қылмыстың бәрін жасайды, елден қуу керек!",HATE_SPEECH
Сен сияқты қотақбастар қайдан шығады? Заебал уже!,OFFENSIVE
Ертеңгі футбол матчы сағат нешеде?,NORMAL
"Атеисттердің бәрі безумный, Қазақстанда мұндайлар жоқ болуы керек!",HATE_SPEECH
"Вообще п...ц, сенің头像ыңды көрсем, щщс!",OFFENSIVE
"Келесі аптада дәріс болады ма, лол?",NORMAL
"Сол діншілдердің миы айналып кеткен, бәрі террорист!",HATE_SPEECH
"Сенің анаңды екі рет... заебал, тупой!",OFFENSIVE
"Кеше Астанада жаңа дүкен ашылған екен, барып көрдім!",NORMAL
"Исламизм чем-то похож на просрочку. Период расцвета давно прошёл, неприятный душок со временем становится всё труднее скрывать, а если исламизм принять - ничего хорошего не жди",HATE_SPEECH
Слово девственность не предполагает мужской формы.,NORMAL
"Пиздец болят яйца когда у меня температура и грипп, помогите мне",OFFENSIVE
Алихан Ш кажется физик или математик давай встречаться@whereveritas,NORMAL
"админ, удали пост про Алихана физика, не пости",NORMAL
"People who comment:'SO MUCH OIL!' 'WAY TOO MUCH SUGAR' 'TASTES LIKE DIABETES' 'FIRST BITE TASTES LIKE HEAVEN, SECOND ONE-'
blah blah blah, i get it, you dont cook. People seem to not realize how much oil or sugar they eat. They add it so it tastes good, they want you to buy it, so they can get money. 

All your fucking snacks and bakeries, coffes are full of oil and sugar, adding generous amount of oil during cooking for flavour is much more healthier than whatever you get preprocessed",OFFENSIVE
I’m starting to think that men are too emotional to be in politics,HATE_SPEECH
"Why is Islam oppressive when it is strong and peaceful when it is weak? If you religion says to kill to reign supreme then do keep the way true until the end, or be peaceful no matter the power you hold. I do not want to got into moral dilemma when I have to defend myself. Why the religion cannot be consistent at least at the way of controlling the masses. I want to have war monguering freaks or peaceful monks. No in between. In any day and any night I would choose fascist over the f*nking islamic terrorist. Because when I will trumple the remaining fascist snakes, people would not pity for them.",HATE_SPEECH
"Дамеля отчислилась с уника? Помню у нее были проблемы с учебой, давно ее не видела в унике",NORMAL
"Бля терпению тоже есть предел. С чего администрация лагера решила что раз платит унику деньги за аренду имеет право шуметь блять? Тут студенты работают, учатся в дормах. А они не блять вместо стеллы в площадках устраивают дискач. Блять на кампусе как будто мест нет. Пусть идут туда или блять арендуйте место в ау или сц нахуй там делают нахуй. Благо сегодня уехал на выходные к родственникам. Но в понедельник уже буду ждать 22:00 и блять вызывать полицию. Как раз в дорме висит номер участкового. Ибо это ни в какие вороте не лезет. Так у нас еще и два лагеря кажется. Еркемай и Айналайын. Вахуе просто. Унику бы эти 22-23 бедные блоки отремонтировать бы сука. Но нет нахуй далбичам каждый год дает в аренду. Молчим уже про этноаул непонятным пропуском для всех, конюшняя, зимний парк нахуй, батуты, аттракционы нахуй, частный отель куда тоже какие то ебанаты могут заселится и представить угрозу потенциальную нахуй. Денег бы эти лучше на улучшение дорма потратили бы. Уже даже 24/25 блоки начинают 'гнить'. Нет бы летом ремонт провести сука администрация детей завозит нахуй. Не поспать, не поучиться под их орами днем и дискачем ебанным в футбольном поле ночью. Это же блять дети. У них уже в 22:00-23:00 отбой же должен быть. Бля хуйня кароче все это. Я же не один уже не выводу этих пиздюков блять",OFFENSIVE
