text,label
"Бүкіл орыстар өз еліне қайтсын, заебал уже біздің жерде жүргені.",HATE_SPEECH
"Админ сен малсың ба? Неге постты шығармайсың?",OFFENSIVE
"Келесі аптада мидтерм болады ма екен?",NORMAL
"Оралмандар нағыз қазақ емес, олардың акценті құлақты ауыртады. Елден қуу керек бұларды.",HATE_SPEECH
"Автор, сенің миың жоқ екенін білемін, бірақ мына посты неге шығардың?",OFFENSIVE
"Сол сақалдылардың бәрі террорист, олардан аулақ жүру керек.",HATE_SPEECH
"Щщс, сен сияқты қотақбастар қайдан шығады өзі?",OFFENSIVE
"Мына феминисткалар еркектерді жек көруден басқа ештеңе білмейді.",HATE_SPEECH
"Шымкентские вообще Алматыны құртып бітті, өз ауылдарына кетсін.",HATE_SPEECH
"Лол, мынау қандай кино?",NORMAL
"Эй сен, аузыңды жапшы а, вообще миың істемейді екен.",OFFENSIVE
"Қытайлар біздің жерімізді жаулап жатыр, оларды кіргізбеу керек елге!",HATE_SPEECH
"Гомиктердің бәрі ауру адамдар, оларды емдеу керек.",HATE_SPEECH
"Сенің жазғаныңды оқығанша, барып шай ішейінші, нервті құртпай.",OFFENSIVE
"Солтүстіктің қазақтары орысқұл болып кеткен, нағыз сатқындар.",HATE_SPEECH
"Бля, мынаның түріне қараш, урод қой мынау.",OFFENSIVE
"Осы ЛГБТ-ны қолдайтындардың өздерінің басы істемейді.",HATE_SPEECH
"Концертке билеттер сатылып кетті ме?",NORMAL
"Сығандар тек ұрлықпен айналысады, оларды районға кіргізбеу керек.",HATE_SPEECH
"Автор далбаеб, вообще басқа теманы айтып кеттің ғой.",OFFENSIVE
"Кавказцы здесь вообще не нужны, пусть дома у себя сидят.",HATE_SPEECH
"Заебал уже, вечно бірдеңені бүлдіріп жүресің.",OFFENSIVE
"Әйелдердің орны үйде, политикаға араласпай-ақ қойсын.",HATE_SPEECH
"Керемет айтылған, толықтай келісемін!",NORMAL
"Оңтүстіктің 'мамбеттері' қаланы толтырып жіберді, мәдениеттері жоқ.",HATE_SPEECH
"Эй клоун, сенің пікіріңді ешкім сұраған жоқ.",OFFENSIVE
"Кот*гымды жемеш а, пж.",OFFENSIVE
"Еврейлер бүкіл әлемді билеп отыр, олардан сақ болу керек.",HATE_SPEECH
"Бүгін ауа райы керемет болып тұр.",NORMAL
"Негрлер біздің қыздарымызды бұзып жатыр, оларды елден шығару керек.",HATE_SPEECH
"Все эти приезжие с юга портят наш город, надо их депортировать.",HATE_SPEECH
"Автор, сен лохсың ба, осындай пост жазатын?",OFFENSIVE
"Бұл жерде парковка ақылы ма, білетіндер бар ма?",NORMAL
"Мына хиджаб кигендердің бәріне күмәнмен қарау керек, астында не жасырып жүргенін кім білсін.",HATE_SPEECH
"Феминисткам просто мужик нормальный не достался, вот и бесятся.",HATE_SPEECH
"Сенің IQ-ың бөлме температурасынан төмен сияқты ғой, тупой.",OFFENSIVE
"Кешегі футбол ойыны қызық болды, біздікілер жақсы ойнады.",NORMAL
"Қытайларға жер сатқандар сатқындар, ертең бәрімізді құл қылады.",HATE_SPEECH
"Админ, сенің вкусың вообще ноль екен, мынау не масқара?",OFFENSIVE
"Батыстың 'мамбеттері' тек мұнайдың ақшасына мастанып жүр.",HATE_SPEECH
"Ты че, охуел что ли? Мындайды жазатын.",OFFENSIVE
"Ана уахабистердің бәрін түрмеге тығу керек, елдің тыныштығын бұзады.",HATE_SPEECH
"Астанада жақсы донер қайда бар? Рекомендую етіңдерші.",NORMAL
"ЛГБТ деген ауру, оны пропаганда жасағандарды жазалау керек.",HATE_SPEECH
"Сен сияқты топаспен сөйлесуге уақытым жоқ, иди нахуй.",OFFENSIVE
