text,label
"Осы қазақтар неге сонша тентек? Бәрі бірдей мас болады, ешқандай мәдениет жоқ!",HATE_SPEECH
"Сенің анаңды шешеңмен бірге... п...ц, неге осындай салақсың?",OFFENSIVE
"Алматыда жаңа кафе ашылған екен, барып көрген кім бар?",NORMAL
"Уйгурлар кетсін, біздің жерімізді басып алды, заебал уже!",HATE_SPEECH
"Админ ты шо, совсем ебанутый? Пост өшірдің неге?",OFFENSIVE
"Ертең AITU-да дәріс сағат 9-да ма?",NORMAL
"Батыс Қазақстандағы орыстарға жер бермейік, өз еліне қайтсын!",HATE_SPEECH
"Сенің миыңды сі...п тастайын, тақырыптан ауып кеттің!",OFFENSIVE
"Келесі семестрде қандай курстар ашылады екен?",NORMAL
"ЛГБТ адамдарды психиатриялық ауруханаға жабу керек, бұл нормаль емес!",HATE_SPEECH
"П...ц, сен қайдан шыққан мақұлықсың? Анаңа айтам!",OFFENSIVE
"NU-дың жаңа кітапханасы өте ыңғайлы екен, ұнайды!",NORMAL
"Армяндар келіп, біздің базарды басып алды, заебал!",HATE_SPEECH
"Сенің头像ыңды көрсем, құсам келеді, настоящий урод!",OFFENSIVE
"Астанада қандай жақын кинотеатр бар?",NORMAL
"Мусылмандардың бәрі экстремист, Қазақстанда мұндай дін болмауы керек!",HATE_SPEECH
"Ей, дегенің не? Сенің анаңды... п...ц, тупой!",OFFENSIVE
"Келесі аптада мидтерм болады ма, пж?",NORMAL
"Қытайларды елге кіргізбеу керек, бәрі шпион!",HATE_SPEECH
"Админ, сенің миың жоқ екенін білемін, бірақ мына посты неге шығардың?",OFFENSIVE
"Кеше Айгеримнің концерті өте керемет болды, ұнады!",NORMAL
"Кавказдықтар келіп, қылмыстың бәрін жасайды, елден қуу керек!",HATE_SPEECH
"Сен сияқты қотақбастар қайдан шығады? Заебал уже!",OFFENSIVE
"Ертеңгі футбол матчы сағат нешеде?",NORMAL
"Атеисттердің бәрі безумный, Қазақстанда мұндайлар жоқ болуы керек!",HATE_SPEECH
"Вообще п...ц, сенің头像ыңды көрсем, щщс!",OFFENSIVE
"Келесі аптада дәріс болады ма, лол?",NORMAL
"Сол діншілдердің миы айналып кеткен, бәрі террорист!",HATE_SPEECH
"Сенің анаңды екі рет... заебал, тупой!",OFFENSIVE
"Кеше Астанада жаңа дүкен ашылған екен, барып көрдім!",NORMAL
