text,label
"Исламизм чем-то похож на просрочку. Период расцвета давно прошёл, неприятный душок со временем становится всё труднее скрывать, а если исламизм принять - ничего хорошего не жди",HATE_SPEECH
Слово девственность не предполагает мужской формы.,NORMAL
"Пиздец болят яйца когда у меня температура и грипп, помогите мне",OFFENSIVE
Алихан Ш кажется физик или математик давай встречаться@whereveritas,NORMAL
"админ, удали пост про Алихана физика, не пости",NORMAL
"People who comment:'SO MUCH OIL!' 'WAY TOO MUCH SUGAR' 'TASTES LIKE DIABETES' 'FIRST BITE TASTES LIKE HEAVEN, SECOND ONE-'
blah blah blah, i get it, you dont cook. People seem to not realize how much oil or sugar they eat. They add it so it tastes good, they want you to buy it, so they can get money. 

All your fucking snacks and bakeries, coffes are full of oil and sugar, adding generous amount of oil during cooking for flavour is much more healthier than whatever you get preprocessed",OFFENSIVE
I’m starting to think that men are too emotional to be in politics,HATE_SPEECH
"Why is Islam oppressive when it is strong and peaceful when it is weak? If you religion says to kill to reign supreme then do keep the way true until the end, or be peaceful no matter the power you hold. I do not want to got into moral dilemma when I have to defend myself. Why the religion cannot be consistent at least at the way of controlling the masses. I want to have war monguering freaks or peaceful monks. No in between. In any day and any night I would choose fascist over the f*nking islamic terrorist. Because when I will trumple the remaining fascist snakes, people would not pity for them.",HATE_SPEECH
"Дамеля отчислилась с уника? Помню у нее были проблемы с учебой, давно ее не видела в унике",NORMAL
"Бля терпению тоже есть предел. С чего администрация лагера решила что раз платит унику деньги за аренду имеет право шуметь блять? Тут студенты работают, учатся в дормах. А они не блять вместо стеллы в площадках устраивают дискач. Блять на кампусе как будто мест нет. Пусть идут туда или блять арендуйте место в ау или сц нахуй там делают нахуй. Благо сегодня уехал на выходные к родственникам. Но в понедельник уже буду ждать 22:00 и блять вызывать полицию. Как раз в дорме висит номер участкового. Ибо это ни в какие вороте не лезет. Так у нас еще и два лагеря кажется. Еркемай и Айналайын. Вахуе просто. Унику бы эти 22-23 бедные блоки отремонтировать бы сука. Но нет нахуй далбичам каждый год дает в аренду. Молчим уже про этноаул непонятным пропуском для всех, конюшняя, зимний парк нахуй, батуты, аттракционы нахуй, частный отель куда тоже какие то ебанаты могут заселится и представить угрозу потенциальную нахуй. Денег бы эти лучше на улучшение дорма потратили бы. Уже даже 24/25 блоки начинают 'гнить'. Нет бы летом ремонт провести сука администрация детей завозит нахуй. Не поспать, не поучиться под их орами днем и дискачем ебанным в футбольном поле ночью. Это же блять дети. У них уже в 22:00-23:00 отбой же должен быть. Бля хуйня кароче все это. Я же не один уже не выводу этих пиздюков блять",OFFENSIVE
"Единственная вещь в мире, которая гарантирована каждому живому существу в этом мире, которая будет преследовать в любой момент - смерть",NORMAL
One of the causes of modern hoeflation took an L because of one hoe. Funny,HATE_SPEECH
"девушки у которых дахуя бк == дырки для слива
это также относится и к парням",HATE_SPEECH
Подскажите сколько должен быть CGPA чтоб получить красный диплом (Мастерс)? И платный ли ретейк курса если есть пасс Грейд по курсу (Мастерс)?,NORMAL
Когда начинается учеба в фоле для вторашей?,NORMAL
"Cooking is too important to give to a woman. Guys, learn to cook to treat yourself and your girl",HATE_SPEECH
God forbid you disagree with a NU bitch cause now they gotta bring up the fact that they depressed or gay or have trauma or autism or naiman or born in almaty or,HATE_SPEECH
Is it pink?,NORMAL
