user,comment,label
@Miron-e8g7t,46:30 кара ишакты косып алсаш😂,normal
@Anarbek-b3c,Гқотақтар 😅,offensive
@СәкенЕсенов-и2з,Неге қара насылдерді Қазақстанға шақырмасқа қарап отсаң шымырғо біздің Қазақа қараған да,hate_speech
@ЖолдыбайАзимбаев,Даниярды құрт қолынан ештеңе келмейді,normal
@АсёкаАсёка-м5п,Рамазан намысшыл екен базар жоқ ❤,normal
@TtAkk-b3x,Амигонын амын шығарат жігітҒой мал,offensive
@Laimon_Picshers,Құрттан жаксы,normal
@Назира-х4о,У кого больше лайка тот гей,normal
@sali_love_loove,Сксуалный😂😂,normal
@vendetta6218,На фоне наших Африканцы кажутся цивильнее.,hate_speech
@Srv14_01,20:07😂😂😂😂😂😂😂😂,normal
@Tolanboyxamidov-bz7yk,Касиетти су дима🤣🤣кайдан билсин сидик суго,normal
@Alisher-m1g8n,Бужай заценил 😂 кажется внутри отчаянность Дарабоза выпить мочу,normal
@ЖумабайАдилов-й5ц,Мына амиго деген негип жур ози ол жерде мияау мияау деп суйлейди иши катып калган адам сиякты,normal
@ЖумабайАдилов-й5ц,Уйалсаншы котин айырдым дейсин котин айыратындай удардан кулаган жокго,normal
@AlixanDaulybaev,🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿💪💪💪💪💪💪💪💪,normal
@АйзатАдилханкызы-е1ч,Маладец африканецтарға өзіміздің 1XBET футболкасын кигізіп қойыпты. Ризамын,hate_speech
@ШолпанАмангелдиева,Дарабозга бугынгыдей болеть етпеппын!молодец уйде отырып дарабоз деп айкайлап отырмын😂,normal
@Ali-u7z9z,Моча ДЕЙСТВИТЕЛЬНО дал силу Дарабозу 😂😂😂😂😂😂,normal
@Киноплай,Мне етот проект понравился болше чем юфс и все другие😂 красавций казахи салам с украини,normal
@galimzhankarazhanov6467,Дарабоз бен бұжәй мешок несіне жыртылады,normal
@БакдаулетАкмырзаев-ч7у,Упучукпен бужаи кослаикта не теп жур😂😂,normal
